                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1776,                0.73146,                 1.2084,                0.91975,                0.90977,                 0.9517,                0.58976,                 1.3514,                0.59453,                 1.3972,               0.008878,               0.008878,               0.008878
                     37,                  1.177,                0.73291,                 1.2081,                0.92133,                0.90548,                0.95208,                0.58978,                 1.3521,                0.59394,                 1.3977,               0.008845,               0.008845,               0.008845
                     38,                 1.1723,                0.72786,                 1.2073,                0.92118,                0.90589,                 0.9524,                0.59008,                 1.3515,                0.59331,                 1.3975,               0.008812,               0.008812,               0.008812
                     39,                 1.1711,                0.72742,                 1.2107,                0.91813,                0.91004,                0.95253,                0.59035,                 1.3512,                0.59287,                 1.3973,               0.008779,               0.008779,               0.008779
                     40,                 1.1717,                0.72428,                 1.2051,                0.91813,                0.91004,                0.95232,                 0.5909,                 1.3505,                0.59177,                 1.3969,               0.008746,               0.008746,               0.008746
                     41,                 1.1687,                0.72252,                 1.2055,                0.91902,                0.90941,                 0.9525,                0.59128,                   1.35,                0.59053,                 1.3964,               0.008713,               0.008713,               0.008713
                     42,                  1.169,                0.71704,                 1.2015,                0.91997,                0.90962,                0.95317,                0.59179,                  1.349,                0.58906,                 1.3956,                0.00868,                0.00868,                0.00868
                     43,                 1.1648,                0.71267,                 1.2035,                0.91866,                0.91192,                0.95326,                0.59239,                 1.3479,                0.58775,                 1.3945,               0.008647,               0.008647,               0.008647
                     44,                 1.1649,                0.71408,                 1.2047,                0.92024,                0.90833,                0.95345,                0.59222,                 1.3479,                0.58669,                 1.3945,               0.008614,               0.008614,               0.008614
                     45,                 1.1634,                0.71505,                 1.2038,                0.91963,                0.91078,                 0.9539,                0.59271,                 1.3479,                0.58538,                 1.3946,               0.008581,               0.008581,               0.008581
                     46,                 1.1646,                0.71383,                 1.2028,                0.92175,                0.90831,                0.95431,                0.59353,                 1.3474,                0.58441,                 1.3942,               0.008548,               0.008548,               0.008548
                     47,                 1.1627,                0.71086,                  1.201,                0.92334,                0.90856,                 0.9547,                0.59366,                 1.3468,                0.58331,                 1.3936,               0.008515,               0.008515,               0.008515
                     48,                 1.1655,                0.71306,                 1.1987,                0.92313,                0.91118,                0.95485,                0.59367,                 1.3464,                0.58205,                 1.3928,               0.008482,               0.008482,               0.008482
                     49,                 1.1594,                0.70753,                 1.1958,                0.92498,                0.91093,                0.95456,                0.59364,                 1.3464,                0.58088,                  1.392,               0.008449,               0.008449,               0.008449
                     50,                 1.1605,                0.70594,                 1.1986,                0.92414,                0.90916,                0.95444,                0.59385,                 1.3458,                0.57968,                 1.3912,               0.008416,               0.008416,               0.008416
                     51,                 1.1601,                0.71066,                 1.1993,                0.92468,                0.90876,                0.95428,                0.59447,                 1.3452,                0.57888,                 1.3904,               0.008383,               0.008383,               0.008383
                     52,                 1.1595,                0.70429,                 1.1967,                0.92536,                0.90755,                0.95419,                0.59487,                 1.3446,                0.57783,                 1.3896,                0.00835,                0.00835,                0.00835
                     53,                 1.1588,                0.70687,                  1.197,                0.92377,                0.90993,                0.95473,                0.59497,                 1.3446,                  0.577,                 1.3894,               0.008317,               0.008317,               0.008317
                     54,                 1.1564,                0.70132,                 1.1967,                0.92441,                0.91095,                0.95474,                0.59493,                 1.3444,                0.57622,                 1.3888,               0.008284,               0.008284,               0.008284
                     55,                 1.1572,                  0.707,                 1.1955,                0.92368,                0.91179,                0.95472,                0.59526,                 1.3446,                0.57602,                 1.3889,               0.008251,               0.008251,               0.008251
                     56,                   1.15,                0.69988,                 1.1914,                 0.9265,                0.91038,                 0.9551,                0.59519,                 1.3443,                 0.5756,                 1.3887,               0.008218,               0.008218,               0.008218
                     57,                 1.1557,                 0.7031,                 1.1924,                0.92636,                0.91156,                0.95563,                 0.5959,                 1.3438,                0.57458,                 1.3876,               0.008185,               0.008185,               0.008185
                     58,                 1.1515,                0.69954,                  1.195,                 0.9279,                0.91098,                0.95535,                 0.5967,                 1.3438,                0.57309,                 1.3872,               0.008152,               0.008152,               0.008152
                     59,                 1.1522,                0.70022,                 1.1913,                0.92729,                0.91133,                0.95545,                0.59677,                 1.3439,                0.57234,                 1.3867,               0.008119,               0.008119,               0.008119
                     60,                  1.152,                0.69652,                 1.1913,                0.92934,                0.91068,                0.95548,                0.59655,                 1.3439,                0.57081,                 1.3863,               0.008086,               0.008086,               0.008086
                     61,                 1.1499,                0.69645,                 1.1894,                 0.9299,                0.91044,                  0.956,                0.59637,                 1.3435,                0.57017,                 1.3855,               0.008053,               0.008053,               0.008053
                     62,                 1.1507,                0.69614,                 1.1904,                0.92844,                0.91058,                0.95584,                0.59677,                 1.3437,                0.56894,                 1.3852,                0.00802,                0.00802,                0.00802
                     63,                 1.1507,                0.69397,                 1.1903,                0.92799,                 0.9128,                0.95608,                0.59731,                 1.3434,                0.56848,                 1.3849,               0.007987,               0.007987,               0.007987
                     64,                 1.1464,                  0.691,                 1.1897,                0.92649,                0.91333,                0.95618,                0.59749,                 1.3434,                0.56798,                 1.3848,               0.007954,               0.007954,               0.007954
                     65,                 1.1473,                0.69115,                 1.1873,                0.92567,                0.91498,                0.95594,                0.59757,                  1.344,                0.56731,                 1.3851,               0.007921,               0.007921,               0.007921
                     66,                 1.1489,                0.69473,                 1.1895,                0.92564,                0.91468,                 0.9559,                0.59759,                 1.3442,                0.56622,                  1.385,               0.007888,               0.007888,               0.007888
                     67,                 1.1495,                0.69548,                 1.1897,                0.92447,                0.91603,                0.95586,                0.59805,                 1.3441,                0.56593,                  1.385,               0.007855,               0.007855,               0.007855
                     68,                 1.1444,                0.68829,                 1.1893,                0.92538,                0.91618,                0.95587,                0.59822,                 1.3437,                0.56517,                 1.3844,               0.007822,               0.007822,               0.007822
                     69,                 1.1466,                0.69098,                  1.189,                0.92373,                0.91679,                0.95628,                0.59852,                 1.3432,                0.56442,                 1.3845,               0.007789,               0.007789,               0.007789
                     70,                 1.1478,                0.69187,                 1.1879,                0.92591,                0.91764,                 0.9566,                0.59861,                 1.3434,                 0.5641,                 1.3848,               0.007756,               0.007756,               0.007756
                     71,                 1.1434,                0.68841,                 1.1911,                0.93265,                 0.9134,                0.95616,                0.59854,                 1.3433,                0.56353,                  1.385,               0.007723,               0.007723,               0.007723
                     72,                 1.1439,                0.68987,                 1.1858,                0.93126,                0.91608,                0.95611,                0.59856,                 1.3435,                0.56291,                 1.3849,                0.00769,                0.00769,                0.00769
                     73,                 1.1426,                0.68689,                 1.1827,                0.93096,                0.91522,                0.95603,                0.59889,                 1.3438,                0.56194,                 1.3843,               0.007657,               0.007657,               0.007657
                     74,                 1.1432,                0.68736,                 1.1872,                 0.9299,                 0.9128,                0.95535,                0.59895,                 1.3436,                0.56139,                  1.384,               0.007624,               0.007624,               0.007624
                     75,                 1.1366,                0.68117,                 1.1794,                0.93029,                0.91325,                0.95588,                0.59921,                 1.3433,                 0.5606,                  1.383,               0.007591,               0.007591,               0.007591
                     76,                 1.1402,                0.68474,                  1.185,                0.93024,                 0.9132,                0.95513,                0.59875,                 1.3436,                0.55939,                 1.3828,               0.007558,               0.007558,               0.007558
                     77,                 1.1389,                0.68689,                 1.1842,                0.93132,                0.91098,                0.95452,                0.59841,                 1.3435,                0.55889,                 1.3827,               0.007525,               0.007525,               0.007525
                     78,                 1.1366,                0.68105,                 1.1825,                0.93026,                0.91277,                0.95505,                0.59893,                 1.3437,                 0.5584,                 1.3827,               0.007492,               0.007492,               0.007492
                     79,                 1.1382,                0.68023,                 1.1817,                0.93024,                0.91256,                 0.9557,                0.59918,                 1.3439,                0.55767,                 1.3826,               0.007459,               0.007459,               0.007459
                     80,                 1.1419,                0.68277,                 1.1816,                0.92933,                0.91381,                 0.9556,                0.59888,                 1.3455,                0.55741,                 1.3838,               0.007426,               0.007426,               0.007426
                     81,                 1.1361,                0.67928,                 1.1798,                0.92809,                 0.9134,                0.95527,                0.59862,                 1.3462,                0.55704,                 1.3842,               0.007393,               0.007393,               0.007393
